CountryName,CountryCode,Population,Region,Income
Aruba,ABW,105845.0,Latin America & Caribbean,High 
Afghanistan,AFG,37172386.0,South Asia,Low 
Angola,AGO,30809762.0,Sub-Saharan Africa,Lower middle 
Albania,ALB,2866376.0,Europe & Central Asia,Upper middle 
Andorra,AND,77006.0,Europe & Central Asia,High 
Arab World,ARB,419790588.0,,
United Arab Emirates,ARE,9630959.0,Middle East & North Africa,High 
Argentina,ARG,44494502.0,Latin America & Caribbean,Upper middle 
Armenia,ARM,2951776.0,Europe & Central Asia,Upper middle 
American Samoa,ASM,55465.0,East Asia & Pacific,Upper middle 
Antigua and Barbuda,ATG,96286.0,Latin America & Caribbean,High 
Australia,AUS,24982688.0,East Asia & Pacific,High 
Austria,AUT,8840521.0,Europe & Central Asia,High 
Azerbaijan,AZE,9939800.0,Europe & Central Asia,Upper middle 
Burundi,BDI,11175378.0,Sub-Saharan Africa,Low 
Belgium,BEL,11433256.0,Europe & Central Asia,High 
Benin,BEN,11485048.0,Sub-Saharan Africa,Low 
Burkina Faso,BFA,19751535.0,Sub-Saharan Africa,Low 
Bangladesh,BGD,161356039.0,South Asia,Lower middle 
Bulgaria,BGR,7025037.0,Europe & Central Asia,Upper middle 
Bahrain,BHR,1569439.0,Middle East & North Africa,High 
"Bahamas, The",BHS,385640.0,Latin America & Caribbean,High 
Bosnia and Herzegovina,BIH,3323929.0,Europe & Central Asia,Upper middle 
Belarus,BLR,9483499.0,Europe & Central Asia,Upper middle 
Belize,BLZ,383071.0,Latin America & Caribbean,Upper middle 
Bermuda,BMU,63973.0,North America,High 
Bolivia,BOL,11353142.0,Latin America & Caribbean,Lower middle 
Brazil,BRA,209469333.0,Latin America & Caribbean,Upper middle 
Barbados,BRB,286641.0,Latin America & Caribbean,High 
Brunei Darussalam,BRN,428962.0,East Asia & Pacific,High 
Bhutan,BTN,754394.0,South Asia,Lower middle 
Botswana,BWA,2254126.0,Sub-Saharan Africa,Upper middle 
Central African Republic,CAF,4666377.0,Sub-Saharan Africa,Low 
Canada,CAN,37057765.0,North America,High 
Central Europe and the Baltics,CEB,102511922.0,,
Switzerland,CHE,8513227.0,Europe & Central Asia,High 
Channel Islands,CHI,170499.0,Europe & Central Asia,High 
Chile,CHL,18729160.0,Latin America & Caribbean,High 
China,CHN,1392730000.0,East Asia & Pacific,Upper middle 
Cote d'Ivoire,CIV,25069229.0,Sub-Saharan Africa,Lower middle 
Cameroon,CMR,25216237.0,Sub-Saharan Africa,Lower middle 
"Congo, Dem. Rep.",COD,84068091.0,Sub-Saharan Africa,Low 
"Congo, Rep.",COG,5244363.0,Sub-Saharan Africa,Lower middle 
Colombia,COL,49648685.0,Latin America & Caribbean,Upper middle 
Comoros,COM,832322.0,Sub-Saharan Africa,Lower middle 
Cabo Verde,CPV,543767.0,Sub-Saharan Africa,Lower middle 
